Convalesce  v. (-cing) recover health after illness. [latin valeo be well]
Quid pro quo  n. (pl. Quid pro quos) return made (for a gift, favour, etc.). [latin, = something for something]
Audiotape  n. (also audio tape) 1 a magnetic tape for recording sound. B a length of this. 2 a sound recording on tape.
Anybody  n. & pron. 1 any person. 2 person of importance (is he anybody?).
Illusionist  n. Conjuror.
Brassica  n. Plant of the cabbage family. [latin, = cabbage]
Inhumane  adj. = *inhuman.  inhumanely adv.
Joule  n. Si unit of work or energy. [joule, name of a physicist]
Prodigious  adj. 1 marvellous or amazing. 2 enormous. 3 abnormal. [latin: related to *prodigy]
Pietà  n. Representation of the virgin mary holding the dead body of christ on her lap. [italian, = *piety]
Page-boy  n. 1 = *page2 n. 2. 2 woman's hairstyle with the hair bobbed and rolled under.
Parson  n. 1 rector. 2 vicar; clergyman. [latin: related to *person]
Glass  -n. 1 a (often attrib.) Hard, brittle, usu. Transparent substance, made by fusing sand with soda and lime etc. B substance of similar properties. 2 glass objects collectively. 3 a glass drinking vessel. B its contents. 4 mirror. 5 glazed frame for plants. 6 barometer. 7 covering of a watch-face. 8 lens. 9 (in pl.) A spectacles. B binoculars. -v. (usu. As glassed adj.) Fit with glass.  glassful n. (pl. -s). [old english]
Arc lamp  n. (also arc light) light using an electric arc.
Hemorrhage  (brit. Haem-) -n. 1 profuse loss of blood from a ruptured blood-vessel. 2 damaging loss, esp. Of people or assets. -v. (-ging) suffer a haemorrhage. [greek haima blood, rhegnumi burst]
Polar bear  n. Large white bear living in the arctic regions.
Ptolemaic system  n. Theory that the earth is the stationary centre of the universe.
Pay-as-you-earn  n. Deduction of income tax from wages at source.
Mellifluous  adj. (of a voice etc.) Pleasing, musical, flowing.  mellifluously adv. Mellifluousness n. [latin mel honey, fluo flow]
Enjoin  v. 1 command or order. 2 (often foll. By on) impose (an action). 3 (usu. Foll. By from) law prohibit by injunction (from doing a thing). [latin injungo attach]
Smart money  n. Money invested by people with expert knowledge.
Percentage  n. 1 rate or proportion per cent. 2 proportion.
Girl friday  n. Female helper or follower.
Firmware  n. Computing permanent kind of software.
Incumbency  n. (pl. -ies) office or tenure of an incumbent.
Avalanche  n. 1 rapidly sliding mass of snow and ice on a mountain. 2 sudden abundance (avalanche of work). [french]
Barber's pole  n. Pole with spiral red and white stripes as a barber's sign.
Catarrh  n. 1 inflammation of the mucous membrane of the nose, air-passages, etc. 2 mucus caused by this.  catarrhal adj. [greek rheo flow]
Aberration  n. 1 aberrant behaviour; moral or mental lapse. 2 biol. Deviation from a normal type. 3 distortion of an image because of a defect in a lens or mirror. 4 astron. Apparent displacement of a celestial body.
Hematite  n. (brit. Haem-) a ferric oxide ore. [latin: related to *haemal]
Girlfriend  n. 1 person's regular female companion or lover. 2 female friend.
Discomfort  -n. 1 lack of comfort; slight pain or unease. 2 cause of this. -v. Make uncomfortable.
Bias  -n. 1 (often foll. By towards, against) predisposition or prejudice. 2 statistics distortion of a statistical result due to a neglected factor. 3 edge cut obliquely across the weave of a fabric. 4 sport a irregular shape given to a bowl. B oblique course this causes it to run. -v. (-s- or -ss-) 1 (esp. As biased adj.) Influence (usu. Unfairly); prejudice. 2 give a bias to.  on the bias obliquely, diagonally. [french]
Quantum jump  n. (also quantum leap) 1 sudden large increase or advance. 2 physics abrupt transition in an atom or molecule from one quantum state to another.
Iffy  adj. (-ier, -iest) colloq. Uncertain; dubious.
Draw  -v. (past drew; past part. Drawn) 1 pull or cause to move towards or after one. 2 pull (a thing) up, over, or across. 3 pull (curtains etc.) Open or shut. 4 take (a person) aside. 5 attract; bring; take in (drew a deep breath; felt drawn to her; drew my attention; drew a crowd). 6 (foll. By at, on) inhale from (a cigarette, pipe, etc.). 7 (also absol.) Take out; remove (a tooth, gun, cork, card, etc.). 8 obtain or take from a source (draw a salary; draw inspiration; drew £100 out). 9 a (also absol.) Make (a line or mark). B produce (a picture) thus. C represent (something) thus. 10 (also absol.) Finish (a contest or game) with equal scores. 11 proceed (drew near the bridge; draw to a close; drew level). 12 infer (a conclusion).
Seclude  v. (-ding) (also refl.) 1 keep (a person or place) apart from others. 2 (esp. As secluded adj.) Screen from view. [latin secludo -clus-]
Heel3  var. Of *hele.
Finch  n. Small seed-eating bird, esp. A crossbill, canary, or chaffinch. [old english]
Estate  n. 1 property consisting of much land and usu. A large house. 2  modern residential or industrial area with an integrated design or purpose. 3 person's assets and liabilities, esp. At death. 4 property where rubber, tea, grapes, etc., are cultivated. 5 order or class forming (or regarded as) part of the body politic. 6 archaic or literary state or position in life (the estate of holy matrimony).  the three estates lords spiritual (the heads of the church), lords temporal (the peerage), and the commons. [french estat, from latin sto stat- stand]
Hearing  n. 1 faculty of perceiving sounds. 2 range within which sounds may be heard (within hearing). 3 opportunity to state one's case (a fair hearing). 4 trial of a case before a court.
Anathema  n. (pl. -s) 1 detested thing (is anathema to me). 2 ecclesiastical curse. [greek, = thing devoted (i.e. To evil)]
Guestimate  n. (also guesstimate) colloq. Estimate based on a mixture of guesswork and calculation. [from *guess, *estimate]
Dry-shod  adj. & adv. Without wetting one's shoes.
Parity  n. 1 equality, equal status or pay. 2 parallelism or analogy (parity of reasoning). 3 equivalence of one currency with another; being at par. [latin paritas: related to *par]
Inbuilt  adj. Built-in.
Re-equip  v. (-pp-) provide or be provided with new equipment.
Pulley  n. (pl. -s) 1 grooved wheel or wheels for a cord etc. To pass over, set in a block and used for changing the direction of a force. 2 wheel or drum fixed on a shaft and turned by a belt, used esp. To increase speed or power. [french polie: related to *pole2]
Fast worker  n. Colloq. Person who rapidly makes esp. Sexual advances.
Mystery  n. (pl. -ies) 1 secret, hidden, or inexplicable matter. 2 secrecy or obscurity. 3 (attrib.) Secret, undisclosed (mystery guest). 4 practice of making a secret of things (engaged in mystery and intrigue). 5 (in full mystery story) fictional work dealing with a puzzling event, esp. A murder. 6 a religious truth divinely revealed. 7 (in pl.) A secret religious rites of the ancient greeks, romans, etc. B archaic eucharist. [greek musterion: related to *mystic]
Apricot  -n. 1 a small juicy soft orange-yellow peachlike fruit. B tree bearing it. 2 its colour. -adj. Orange-yellow. [portuguese and spanish from arabic, ultimately from latin praecox early-ripe]
Tabu  var. Of *taboo.
Impregnable  adj. Strong enough to be secure against attack.  impregnability n. Impregnably adv. [french: related to *in-1, latin prehendo take]
Groin1  -n. 1 depression between the belly and the thigh. 2 archit. A edge formed by intersecting vaults. B arch supporting a vault. -v. Archit. Build with groins. [origin uncertain]
Promenader  n. 1 person who promenades. 2 regular attender at promenade concerts.
Bar2  n. Esp. Meteorol. Unit of pressure, 105 newtons per square metre, approx. One atmosphere. [greek baros weight]
Cactus  n. (pl. -ti or cactuses) plant with a thick fleshy stem and usu. Spines but no leaves. [latin from greek]
Refuse1  v. (-sing) 1 withhold acceptance of or consent to (refuse an offer, orders). 2 (often foll. By to + infin.) Indicate unwillingness or inability (i refuse to go; car refuses to start; i refuse!). 3 (often with double object) not grant (a request) made by (a person). 4 (also absol.) (of a horse) be unwilling to jump (a fence etc.). [french refuser]
Mild-mannered  adj. = *mild 1.
Outwards  var. Of *outward adv.
Copal  n. Resin of a tropical tree, used for varnish. [spanish from aztec]
Arcane  adj. Mysterious, secret. [latin arceo shut up]
Fe  abbr. Further education.
Stripper  n. 1 person or thing that strips something. 2 device or solvent for removing paint etc. 3 striptease performer.
Cocotte  n. Small fireproof dish for cooking and serving an individual portion. [french]
Hotel  n. (usu. Licensed) establishment providing accommodation and meals for payment. [french: related to *hostel]
Flora  n. (pl. -s or florae) 1 plant life of a region or period. 2 list or book of these. [latin flora, name of the goddess of flowers]
Goo  n. Colloq. 1 sticky or slimy substance. 2 sickly sentiment. [origin unknown]
Dungeon  n. Underground prison cell. [earlier donjon keep of a castle; ultimately from latin dominus lord]
Ill health  n. Poor physical or mental condition.
Clove2  n. Small segment of a compound bulb, esp. Of garlic. [old english: related to *cleave1]
Pot-bound  adj. (of a plant) with roots filling the flowerpot, leaving no room to expand.
Oblong  -adj. Rectangular with adjacent sides unequal. -n. Oblong figure or object. [latin oblongus longish]
Judder  -v. Shake noisily or violently. -n. Juddering. [imitative: cf. Shudder]
Corm  n. Underground swollen stem base of some plants. [greek kormos lopped tree-trunk]
Fluke2  n. 1 parasitic flatworm, e.g. The liver fluke. 2 flat-fish, esp. A flounder. [old english]
Proboscis monkey  n. Monkey of borneo, the male of which has a large pendulous nose.
Refurbish  v. 1 brighten up. 2 restore and redecorate.  refurbishment n.
Dutch oven  n. 1 metal box with the open side facing a fire. 2 covered cooking-pot for braising etc.
Criticism  n. 1 a fault-finding; censure. B critical remark etc. 2 a work of a critic. B analytical article, essay, etc.
Subaquatic  adj. Underwater.
Nationwide  adj. & adv. Extending over the whole nation.
Dentifrice  n. Toothpaste or tooth powder. [latin: related to *dental, frico rub]
Everyone  pron. Everybody.
Inconsolable  adj. (of a person, grief, etc.) That cannot be consoled.  inconsolably adv.
Disqualify  v. (-ies, -ied) 1 debar from a competition or pronounce ineligible as a winner. 2 make or pronounce ineligible, unsuitable, or unqualified (disqualified from driving).  disqualification n.
Opprobrium  n. 1 disgrace. 2 cause of this. [latin, = infamy, reproach]
Negligible  adj. Not worth considering; insignificant.  negligibly adv. [french: related to *neglect]
Bark1  -n. 1 sharp explosive cry of a dog, fox, etc. 2 sound like this. -v. 1 (of a dog etc.) Give a bark. 2 speak or utter sharply or brusquely. 3 colloq. Cough harshly.  bark up the wrong tree make false assumptions. [old english]
-or  suffix forming nouns denoting esp. An agent (actor; escalator) or condition (error; horror). [latin]
Knight  -n. 1 man awarded a non-hereditary title (sir) by a sovereign. 2 hist. A man, usu. Noble, raised to honourable military rank after service as a page and squire. B military follower, attendant, or lady's champion in a war or tournament. 3 man devoted to a cause, woman, etc. 4 chess piece usu. Shaped like a horse's head. -v. Confer a knighthood on.  knighthood n. Knightly adj. Poet. [old english, originally = boy]
Curtail  v. Cut short; reduce.  curtailment n. [corruption of obsolete adj. Curtal: related to *curt]
Designing  adj. Crafty, scheming.
Ring-pull  attrib. Adj. (of a tin) having a ring for pulling to break its seal.
Huntsman  n. 1 hunter. 2 hunt official in charge of hounds.
Processional  -adj. 1 of processions. 2 used, carried, or sung in processions. -n. Eccl. Processional hymn or hymn book.
Air speed  n. Aircraft's speed relative to the air.
Corkscrew  -n. 1 spiral device for extracting corks from bottles. 2 (often attrib.) Thing with a spiral shape. -v. Move spirally; twist.
Showbiz  n. Colloq. = *show business.
Crane-fly  n. Two-winged long-legged fly: also called *daddy-long-legs.
Shitty  adj. (-ier, -iest) coarse slang 1 disgusting, contemptible. 2 covered with excrement.
Hula  n. (also hula-hula) polynesian dance performed by women, with flowing arm movements. [hawaiian]
Physique  n. Bodily structure and development. [french: related to *physic]
Decontaminate  v. (-ting) remove contamination from.  decontamination n.
Rowel  n. Spiked revolving disc at the end of a spur. [latin rotella diminutive: related to *rota]
Pronominal  adj. Of, concerning, or being, a pronoun. [latin: related to *pronoun]
R.  Abbr. (also r) 1 right. 2 radius.
Ny  abbr. Us new york.
Sphere  n. 1 solid figure with every point on its surface equidistant from its centre; its surface. 2 ball, globe. 3 a field of action, influence, etc. B social class. 4 hist. Each of the revolving shells in which celestial bodies were thought to be set. [greek sphaira ball]
Bullock  n. Castrated male of domestic cattle. [old english diminutive of *bull1]
Attendee  n. Person who attends (a meeting etc.).
Landing  n. 1 platform at the top of or part way up a flight of stairs. 2 coming to land. 3 place where ships etc. Land.
Harem  n. 1 women of a muslim household. 2 their quarters. [arabic, = sanctuary]
Blew  past of *blow1.
Hydro  n. (pl. -s) colloq. 1 hotel or clinic etc., orig. Providing hydropathic treatment. 2 hydroelectric power plant. [abbreviation]
Scottish terrier  var. Of *scotch terrier.
Jaunt  -n. Short pleasure trip. -v. Take a jaunt. [origin unknown]
Gargle  -v. (-ling) wash (the throat) with a liquid kept in motion by breathing through it. -n. Liquid for gargling. [french: related to *gargoyle]
Armhole  n. Each of two holes for arms in a garment.
Glam  adj. Colloq. Glamorous. [abbreviation]
Hone  -n. Whetstone, esp. For razors. -v. (-ning) sharpen on or as on a hone. [old english]
Cut glass  n. (often hyphenated when attrib.) Glass with patterns cut on it.
Match2  n. 1 short thin piece of wood etc. With a combustible tip. 2 wick or cord etc. For firing a cannon etc. [french mesche]
Calcine  v. (-ning) decompose or be decomposed by strong heat.  calcination n. [french or medieval latin: related to *calx]
Roof-rack  n. Framework for luggage on top of a vehicle.
Pg  abbr. (of a film) classified as suitable for children subject to parental guidance.
Summertime  n. Season or period of summer.
French letter  n. Colloq. Condom.
Sully  v. (-ies, -ied) disgrace or tarnish (a reputation etc.). [french souiller: related to *soil2]
Buoyant  adj. 1 able or apt to keep afloat. 2 resilient; exuberant.  buoyancy n. [french or spanish: related to *buoy]
Latchkey  n. (pl. -s) key of an outer door.
Royal family  n. Family of a sovereign.
Expensive  adj. Costing or charging much.  expensively adv. Expensiveness n.
Suborder  n. Taxonomic category between an order and a family.
Colouration  var. Of *coloration.
Extrapolate  v. (-ting) (also absol.) Calculate approximately from known data etc. (others which lie outside the range of those known).  extrapolation n. [from *extra-, *interpolate]
Dys-  prefix bad, difficult. [greek]
Founder  v. 1 (of a ship) fill with water and sink. 2 (of a plan etc.) Fail. 3 (of a horse or its rider) stumble, fall lame, stick in mud etc. [related to *found2]
Republish  v. Publish again or in a new edition etc.  republication n.
Test-tube baby  n. Colloq. Baby conceived by in vitro fertilization.
Damp squib  n. Unsuccessful attempt to impress etc.
Orthography  n. (pl. -ies) spelling (esp. With reference to its correctness).  orthographic adj. [greek orthographia]
Constipation  n. Difficulty in emptying the bowels.
Scoot  v. (esp. In imper.) Colloq. Depart quickly, flee. [origin unknown]
Silage  n. 1 green fodder stored in a silo. 2 storage in a silo. [alteration of *ensilage after silo]
Pocket money  n. Money for minor expenses, esp. Given to children.
Legal aid  n. State assistance for legal advice or action.
I.e.  Abbr. That is to say. [latin id est]
Steadfast  adj. Constant, firm, unwavering.  steadfastly adv. Steadfastness n. [old english: related to *stead]
Shawl  n. Large usu. Rectangular piece of fabric worn over the shoulders or head, or wrapped round a baby. [urdu from persian shal]
Endocrine  adj. (of a gland) secreting directly into the blood. [greek krino sift]
Necropolis  n. Ancient cemetery or burial place. [greek: related to *necro-, polis city]
Sinner  n. Person who sins, esp. Habitually.
Sale of work  n. Sale of home-made goods etc. For charity.
Recapitulation  n. 1 act of recapitulating. 2 mus. Part of a movement in which themes are restated. [latin: related to *recapitulate]
Shout  -v. 1 speak or cry loudly. 2 say or express loudly. -n. 1 loud cry of joy etc., or calling attention. 2 colloq. One's turn to buy a round of drinks etc.  shout down reduce to silence by shouting. [perhaps related to *shoot]
Inverted commas  n.pl. = *quotation marks.
Ratsbane  n. Anything poisonous to rats, esp. A plant.
Jailbreak  n. (also gaolbreak) escape from jail.
Handgun  n. Small firearm held in and fired with one hand.
Footmark  n. Footprint.
Candour  n. (us candor) frankness; openness. [latin candor]
Affair  n. 1 matter, concern, or thing to be attended to (that is my affair). 2 a celebrated or notorious happening. B colloq. Thing or event (puzzling affair). 3 = *love affair. 4 (in pl.) Public or private business. [french à faire to do]
Genetic fingerprinting  n. (also genetic profiling) identifying individuals by dna patterns.
Bicker  v. Argue pettily. [origin unknown]
Bassinet  n. Child's wicker cradle, usu. Hooded. [french diminutive of bassin *basin]
Bollocking  n. (also ballocking) coarse slang severe reprimand.
Carpet-bag  n. Travelling-bag, orig. Made of carpet-like material.
Arduous  adj. Hard to accomplish; laborious, strenuous. [latin, = steep]
Fatal  adj. 1 causing or ending in death (fatal accident). 2 (often foll. By to) ruinous (fatal mistake). 3 fateful.  fatally adv. [latin: related to *fate]
Road-holding  n. Stability of a moving vehicle.
Nitroglycerin  n. (brit. Nitroglycerine) explosive yellow liquid made by reacting glycerol with a mixture of concentrated sulphuric and nitric acids.
Chuffed  adj. Slang delighted. [dial. Chuff]
Strong point  n. (also strong suit) thing at which one excels.
Insensate  adj. 1 without physical sensation. 2 without sensibility. 3 stupid. [latin: related to *sense]
Confirmation  n. 1 confirming or being confirmed. 2 rite confirming a baptized person as a member of the christian church.
Californium  n. Artificial radioactive metallic element. [california in us, where first made]
Infraction  n. Infringement. [latin: related to *infringe]
Astrophysics  n.pl. (treated as sing.) The study of the physics and chemistry of celestial bodies.  astrophysical adj. Astrophysicist n. [greek astron star]
May day  n. 1 may as a spring festival or international holiday in honour of workers.
Consanguineous  adj. Descended from the same ancestor; akin.  consanguinity n. [latin sanguis blood]
Hit-or-miss  adj. Liable to error, random.
Hedge-hop  v. Fly at a very low altitude.
Slow  -adj. 1 a taking a relatively long time to do a thing (also foll. By of: slow of speech). B acting, moving, or done without speed, not quick. 2 not conducive to speed (slow route). 3 (of a clock etc.) Showing a time earlier than is correct. 4 (of a person) not understanding or learning readily. 5 dull, tedious. 6 slack, sluggish (business is slow). 7 (of a fire or oven) giving little heat. 8 photog. (of a film) needing long exposure. 9 reluctant; not hasty (slow to anger). -adv. Slowly (also in comb.: slow-moving traffic). -v. (usu. Foll. By down, up) 1 reduce one's speed or the speed of (a vehicle etc.). 2 reduce one's pace of life.  slowish adj. Slowly adv. Slowness n. [old english]
Descriptive  adj. Describing, esp. Vividly. [latin: related to *describe]
Nervy  adj. (-ier, -iest) colloq. Nervous; easily excited.
She  -pron. (obj. Her; poss. Her; pl. They) the woman, girl, female animal, ship, or country, etc. Previously named or in question. -n. 1 female; woman. 2 (in comb.) Female (she-goat). [old english]
Stain  -v. 1 discolour or be discoloured by the action of liquid sinking in. 2 spoil, damage (a reputation, character, etc.). 3 colour (wood, glass, etc.) With a penetrating substance. 4 impregnate (a specimen) with a colouring agent for microscopic examination. -n. 1 discoloration; spot, mark. 2 blot, blemish; damage to a reputation etc. 3 substance used in staining. [earlier distain from french desteindre]
Brat  n. Usu. Derog. Child, esp. An ill-behaved one. [origin unknown]
Lamplight  n. Light from a lamp.
Sternum  n. (pl. -na or -nums) breastbone. [greek sternon chest]
Pile2  n. 1 heavy beam driven vertically into the ground to support a bridge, the foundations of a house, etc. 2 pointed stake or post. [latin pilum javelin]
Refill  -v. Fill again. -n. 1 thing that refills, esp. Another drink. 2 act of refilling.  refillable adj.
Anxious  adj. 1 mentally troubled. 2 causing or marked by anxiety (anxious moment). 3 eager, uneasily wanting (anxious to please).  anxiously adv. [latin anxius]
Comedown  n. 1 loss of status. 2 disappointment.
Scorched earth policy  n. Policy of destroying anything that might be of use to an invading enemy.
Imaginary  adj. 1 existing only in the imagination. 2 math. Being the square root of a negative quantity. [latin: related to *image]
Pulse1  -n. 1 a rhythmical throbbing of the arteries as blood is propelled through them, esp. In the wrists, temples, etc. B each beat of the arteries or heart. 2 throb or thrill of life or emotion. 3 general feeling or opinion. 4 single vibration of sound, electric current, light, etc., esp. As a signal. 5 rhythmical beat, esp. Of music. -v. (-sing) pulsate. [latin pello puls- drive, beat]
Electro-shock  attrib. Adj. (of therapy) by means of electric shocks.
Swelling  n. Abnormal bodily protuberance.
Quadrilateral  -adj. Having four sides. -n. Four-sided figure.
Ring-binder  n. Loose-leaf binder with ring-shaped clasps.
Lace  -n. 1 fine open fabric or trimming, made by weaving thread in patterns. 2 cord etc. Passed through holes or hooks for fastening shoes etc. -v. (-cing) 1 (usu. Foll. By up) fasten or tighten with a lace or laces. 2 add spirits to (a drink). 3 (often foll. By through) pass (a shoelace etc.) Through. [latin laqueus noose]
Colony  n. (pl. -ies) 1 a settlement or settlers in a new country, fully or partly subject to the mother country. B their territory. 2 a people of one nationality, occupation, etc., esp. Forming a community in a city. B separate or segregated group (nudist colony). 3 group of animals, plants, etc., living close together. [latin colonia farm]
Linnet  n. Brown-grey finch. [french linette from lin flax, because it eats flax-seed]
Bioengineering  n. 1 the application of engineering techniques to biological processes. 2 the use of artificial tissues, organs, etc. To replace parts of the body, e.g. Artificial limbs, pacemakers, etc.
Plain-spoken  adj. Frank.
Sh  int. = *hush.
Interval  n. 1 intervening time or space. 2 pause or break, esp. Between the parts of a performance. 3 difference in pitch between two sounds.  at intervals here and there; now and then. [latin intervallum space between ramparts]
Desirable  adj. 1 worth having or doing. 2 sexually attractive.  desirability n. Desirableness n. Desirably adv.
Old world  n. Europe, asia, and africa.
Original sin  n. Innate human sinfulness held to be a result of the fall.
French kiss  n. Open-mouthed kiss.
Acolyte  n. 1 person assisting a priest. 2 assistant; beginner. [greek akolouthos follower]
Gp  abbr. General practitioner.
Liberal  -adj. 1 abundant, ample. 2 giving freely, generous. 3 open-minded. 4 not strict or rigorous. 5 for the general broadening of the mind (liberal studies). 6 a favouring moderate political and social reform. B (liberal) of or characteristic of liberals. -n. 1 person of liberal views. 2 (liberal) supporter or member of a liberal party.  liberalism n. Liberality n. Liberally adv. [latin liber free]
Second wind  n. 1 recovery of normal breathing during exercise after initial breathlessness. 2 renewed energy to continue.
Metricate  v. (-ting) convert to a metric system.  metrication n.
Repaint  -v. 1 paint again or differently. 2 restore the paint or colouring of. -n. Act of repainting.
Noteworthy  adj. Worthy of attention; remarkable.
Launch2  n. 1 large motor boat. 2 man-of-war's largest boat. [spanish lancha]
Aircraft-carrier  n. Warship carrying and used as a base for aircraft.
Leviathan  n. 1 bibl. Sea-monster. 2 very large or powerful thing. [latin from hebrew]
Fodder  n. Dried hay or straw etc. As animal food. [old english]
Defuse  v. (-sing) 1 remove the fuse from (a bomb etc.). 2 reduce tension etc. In (a crisis, difficulty, etc.).
Conflict  -n. 1 a state of opposition. B fight, struggle. 2 (often foll. By of) clashing of opposed interests etc. -v. Clash; be incompatible. [latin fligo flict- strike]
Nether  adj. Archaic = *lower1. [old english]
Subsist  v. 1 (often foll. By on) keep oneself alive; be kept alive. 2 remain in being; exist. [latin subsisto]
Propertied  adj. Having property, esp. Land.
Swiss  -adj. Of switzerland or its people. -n. (pl. Same) 1 native or national of switzerland. 2 person of swiss descent. [french suisse]
Pall2  v. (often foll. By on) become uninteresting (to).  [from *appal]
Penitentiary  -n. (pl. -ies) us federal or state prison. -adj. 1 of penance. 2 of reformatory treatment. [latin: related to *penitent]
Cull  -v. 1 select or gather (knowledge culled from books). 2 gather (flowers etc.). 3 a select (animals), esp. For killing. B reduce the population of (an animal) by selective slaughter. -n. 1 culling or being culled. 2 animal(s) culled. [french: related to *collect1]
Convoke  v. (-king) formal call together; summon to assemble. [latin voco call]
Calk  us var. Of *caulk.
Comedienne  n. Female comedian. [french feminine]
Primula  n. Cultivated plant bearing primrose-like flowers in a wide variety of colours. [latin diminutive: related to *prime1]
Spare time  n. Leisure.
Plenty  -n. (often foll. By of) abundance, sufficient quantity or number (we have plenty; plenty of time; a time of plenty). -adj. Colloq. Plentiful. -adv. Colloq. Fully, quite. [latin plenitas: related to *plenary]
Kermes  n. 1 female of an insect with a berry-like appearance. 2 (in full kermes oak) evergreen oak on which this feeds. 3 red dye made from these insects dried. [arabic]
Debatable  adj. Questionable; disputable. [related to *debate]
May  n. 1 fifth month of the year. 2 (may) hawthorn, esp. In blossom. [latin maius of the goddess maia]
Amass  v. Heap together; accumulate. [french: related to *ad-, *mass1]
Reefer  n. 1 slang marijuana cigarette. 2 thick double-breasted jacket. [from *reef2]
Mongol  -adj. 1 of the asian people. 2 resembling this people. 3 (mongol) often offens. Suffering from down's syndrome. -n. 1 mongolian. 2 (mongol) often offens. Person suffering from down's syndrome. [native name: perhaps from mong brave]
Kennel  -n. 1 small shelter for a dog. 2 (in pl.) Breeding or boarding place for dogs. -v. (-ll-; us -l-) put into or keep in a kennel. [french chenil from latin canis dog]
Interpret  v. (-t-) 1 explain the meaning of (words, a dream, etc.). 2 make out or bring out the meaning of (creative work). 3 act as an interpreter. 4 explain or understand (behaviour etc.) In a specified manner.  interpretation n. Interpretative adj. Interpretive adj. [latin interpres -pretis explainer]
Cage  -n. 1 structure of bars or wires, esp. For confining animals or birds. 2 similar open framework, esp. A lift in mine etc. -v. (-ging) place or keep in a cage. [latin cavea]
Parable  n. 1 story used to illustrate a moral or spiritual lesson. 2 allegory. [greek parabole comparison]
Flying boat  n. Boatlike seaplane.
Press-up  n. Exercise in which the prone body is raised from the ground by placing the hands on the floor and straightening the arms.
Gc  abbr. George cross.
Squad car  n. Police car.
Diapositive  n. Positive photographic slide or transparency.
Microcosm  n. (often foll. By of) miniature representation, e.g. Mankind or a community seen as a small-scale model of the universe; epitome.  microcosmic adj. [from *micro-, *cosmos]
Shocking  adj. 1 causing shock; scandalous. 2 colloq. Very bad.  shockingly adv.
N3  symb. Nitrogen.
Housing estate  n. Residential area planned as a unit.
Nerve-centre  n. 1 group of closely connected nerve-cells. 2 centre of control.
Shiver1  -v. Tremble with cold, fear, etc. -n. 1 momentary shivering movement. 2 (in pl., prec. By the) attack of shivering.  shivery adj. [origin uncertain]
Harass  v. 1 trouble and annoy continually. 2 make repeated attacks on.  harassment n. [french]
Dissident  -adj. Disagreeing, esp. With the established government, system, etc. -n. Dissident person.  dissidence n. [latin: related to *dis-, sedeo sit]
Rebirth  n. 1 new incarnation. 2 spiritual enlightenment. 3 revival.  reborn adj.
Irishwoman  n. Woman who is irish by birth or descent.
Colloid  n. 1 substance consisting of ultramicroscopic particles. 2 mixture of such particles dispersed in another substance.  colloidal adj. [greek kolla glue]
Club class  n. Class of fare on an aircraft etc. Designed for business travellers.
Rainy  adj. (-ier, -iest) (of weather, a climate, day, etc.) In or on which rain is falling or much rain usually falls. [old english: related to *rain]
Self-critical  adj. Critical of oneself, one's abilities, etc.  self-criticism n.
Next  -adj. 1 (often foll. By to) being, positioned, or living nearest. 2 nearest in order of time; soonest encountered (next friday; ask the next person you see). -adv. 1 (often foll. By to) in the nearest place or degree (put it next to mine). 2 on the first or soonest occasion (when we next meet). -n. Next person or thing. -prep. Colloq. Next to.  next to almost (next to nothing left). [old english, superlative of *nigh]
Pipit  n. Small bird resembling a lark. [imitative]
Arbitrate  v. (-ting) decide by arbitration.
Stoma  n. (pl. -s or stomata) 1 minute pore in the epidermis of a leaf. 2 small mouthlike artificial orifice made in the stomach. [greek stoma mouth]
Duty-bound  adj. Obliged by duty.
Barograph  n. Barometer equipped to record its readings. [greek baros weight]
Heath robinson  adj. Absurdly ingenious and impracticable. [name of a cartoonist]
Know  v. (past knew; past part. Known) 1 (often foll. By that, how, what, etc.) A have in the mind; have learnt; be able to recall (knows a lot about cars). B (also absol.) Be aware of (a fact) (i think he knows). C have a good command of (knew german; knows his tables).
Hard  -adj. 1 (of a substance etc.) Firm and solid. 2 a difficult to understand, explain, or accomplish. B (foll. By to + infin.) Not easy to (hard to please). 3 difficult to bear (a hard life). 4 unfeeling; severely critical. 5 (of a season or the weather) severe. 6 unpleasant to the senses, harsh (hard colours). 7 a strenuous, enthusiastic, intense (a hard worker). B severe, uncompromising (a hard bargain). C polit. Extreme; most radical (the hard right). 8 a (of liquor) strongly alcoholic. B (of drugs) potent and addictive. C (of pornography) highly obscene. 9 (of water) containing mineral salts that make lathering difficult. 10 established; not disputable (hard facts). 11 (of currency, prices, etc.) High; not likely to fall in value. 12 (of a consonant) guttural (as c in cat, g in go). -adv. Strenuously, intensely, copiously (try hard; raining hard).  be hard on 1 be difficult for. 2 be severe in one's treatment or criticism of. 3 be unpleasant to (the senses). Be hard put to it (usu. Foll. By to + infin.) Find it difficult. Hard by close by. Hard on (or upon) close to in pursuit etc.  hardish adj. Hardness n. [old english]
Cyclone  n. 1 winds rotating inwards to an area of low barometric pressure; depression. 2 violent hurricane of limited diameter.  cyclonic adj. [greek kukloma wheel]
Ne'er-do-well  -n. Good-for-nothing person. -adj. Good-for-nothing.
Country music  n. = *country-and-western.
Shanks's mare  n. (also shanks's pony) one's own legs as transport.
Felly  var. Of *felloe.
Hairpin bend  n. Sharp u-shaped bend in a road.
Garnish  -v. Decorate (esp. Food). -n. Decoration, esp. To food. [french garnir from germanic]
